e_commerce,produto,preco_bruto,preco_numerico,preco_bruto_vista,preco_original,nota_media,num_comentarios
Magalu,Smartphone Motorola Moto G85 5G NFC 256GB/8GB Ram Azul,,1394.1,"1.394,10","R$ 2.299,99",4.4,24.0
Magalu,Carregador Portátil/Power Bank Geonav 10.000mAh PB10K20WSG,,80.99,"80,99","R$ 199,00",4.7,217.0
Magalu,Smartphone Motorola Moto G56 5G 256GB 24GB 8GB RAM+16GBe 50MP Sony Lytia 600 AI Camera IP68 + IP69,,1350.99,"1.350,99",N/A,4.8,674.0
Magalu,Carregador Portátil/Power Bank Geonav 20.000 mAh com 1 Cabo USB-C PB20K20WSG,,260.99,"260,99","R$ 299,00",4.8,57.0
Magalu,Smartphone Xiaomi Redmi 14C 256GB 4+4GB RAM VIRTUAL Preto,,869.0,"869,00","R$ 1.799,99",4.7,234.0
Magalu,"Smartphone Samsung Galaxy A06 128GB 4GB RAM Branco 6,7"" Câm. Dupla + Selfie 8MP",,599.0,"599,00","R$ 988,90",4.8,18144.0
Magalu,"Smartphone Motorola Moto G35 256GB Coral 5G 4GB RAM+8GB Ram Boost 5G 6,7"" Câm. Dupla + Selfie 16MP",,1079.1,"1.079,10","R$ 1.648,90",4.7,2915.0
Magalu,"Apple iPhone 16 128GB Preto 6,1"" 48MP iOS 5G",,4896.0,"4.896,00","R$ 8.578,90",4.9,1805.0
Magalu,"Smartphone Motorola G56 256GB Cinza 5G 8GB de RAM 6,7"" Full HD+ Câm. Dupla + Selfie 32MP",,1149.0,"1.149,00","R$ 2.198,90",4.8,674.0
Magalu,"Samsung Galaxy S25 Ultra 5G 256GB Galaxy AI Titânio Preto 6,9"" 12GB RAM Câm. Quádrupla 200+50+10+50MP Bateria 5000mAh Dual Chip",,5999.0,"5.999,00","R$ 11.999,00",4.9,241.0
Magalu,Smartwatch Samsung Galaxy Watch7 40mm Creme 32GB Bluetooth,,989.1,"989,10","R$ 2.748,90",4.8,533.0
Magalu,Smartwatch Samsung Galaxy Watch7 44mm Verde 32GB Bluetooth,,1169.1,"1.169,10","R$ 2.968,90",4.8,548.0
Magalu,Relógio Inteligente Smartwatch Tela Grande Melhor Carregador Preto Masculino e Feminino A Prova D água Original,,134.0,"134,00",N/A,4.2,32.0
Magalu,"Smartphone Samsung Galaxy S24 FE 128GB Grafite 5G 8GB RAM 6,7"" Câm. Tripla + Selfie 10MP",,2299.08,"2.299,08","R$ 4.999,00",4.8,1955.0
Magalu,Smartwatch Samsung Galaxy Watch7 Prata 32GB Bluetooth,,1169.1,"1.169,10","R$ 2.968,90",4.7,218.0
Magalu,Relógio Smartwatch Digital Pro Series 9 Nfc Gps 47mm Lançamento,,144.42,"144,42","R$ 244,90",4.5,190.0
